	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_pos_reg4_mult_conv	92.68	0.22	9.0	31.7	18.0	261.0	0.5648	0.1533	0.2649	0.4641	0.539	0.5738	0.62	0.6564	0.6953	0.7355	0.7378	0.7449	0.7625	0.7818	0.7923	0.8005	0.8249	0.8364	0.8449	0.8601	0.8866	0.8941	0.9098	0.9468
TFm_UBER_pos_reg4_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	9.18	13.08	16.35	20.25	22.73	25.0	28.21	29.73	29.41	28.12	27.59	30.77	33.33	33.33	36.84	43.75	46.15	45.45	62.5	83.33	-1.0
TFm_UBER_pos_reg4__simp_cordo	78.25	0.48	9.0	12.2	18.0	261.0	0.5313	0.1278	0.2523	0.434	0.5942	0.6212	0.635	0.6406	0.6453	0.6485	0.6492	0.6498	0.6502	0.651	0.6511	0.6515	0.6518	0.652	0.6522	0.6525	0.6529	0.6536	0.6549	0.6555
TFm_UBER_pos_reg4__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	9.23	12.98	15.38	17.72	19.7	20.37	10.53	10.81	8.82	9.38	10.0	11.11	12.0	14.29	16.67	18.75	14.29	18.18	12.5	14.29	-1.0
TFm_UBER_pos_reg4_mult_linear	73.78	0.53	12.0	27.1	18.0	261.0	0.7445	0.1136	0.2147	0.7022	0.7652	0.7866	0.8055	0.8171	0.8346	0.843	0.8438	0.8465	0.8539	0.8556	0.8618	0.8619	0.8641	0.8666	0.8692	0.8743	0.8778	0.8853	0.8887	0.9412
TFm_UBER_pos_reg4_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.16	8.4	9.52	11.54	12.12	15.09	20.51	21.62	23.53	25.0	27.59	25.0	25.0	28.57	31.58	31.25	28.57	27.27	25.0	33.33	-1.0
TFm_UBER_pos_reg4_mult_dense2	89.91	0.24	24.0	26.9	18.0	261.0	0.6114	0.3931	0.0	0.1701	0.8378	0.9001	0.9323	0.9506	0.9634	0.975	0.978	0.982	0.9832	0.9848	0.9868	0.9875	0.9884	0.9895	0.991	0.9931	0.9945	0.9961	0.9975	0.9993
TFm_UBER_pos_reg4_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.21	9.92	11.54	15.38	18.18	21.15	20.0	21.62	23.53	21.88	24.14	25.93	29.17	28.57	31.58	35.29	46.15	54.55	62.5	66.67	-1.0
TFm_UBER_pos_reg4_mult_lstm	92.14	0.21	12.0	8.2	18.0	261.0	0.6226	0.2983	0.0	0.3965	0.6871	0.7756	0.857	0.8904	0.93	0.9438	0.9461	0.95	0.9544	0.9601	0.97	0.9726	0.975	0.9801	0.9824	0.9856	0.9869	0.9885	0.99	0.9983
TFm_UBER_pos_reg4_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.18	8.4	6.73	7.59	7.69	9.43	5.13	5.41	5.88	6.25	6.9	7.41	8.33	9.52	10.53	12.5	14.29	18.18	25.0	33.33	-1.0
